Thickness,Fourier_Number,Temp_Diff,Insulation_Efficiency
0.01,6.01503759398496,3.7248114362406,0.0026846996609559
0.01,6.03174603174602,3.7630275491621,0.0026574347036674
0.01,6.04845446950711,3.7910533473311,0.0026377893117858
0.01,6.06516290726818,3.8080184762856,0.0026260376787231
0.01,6.08187134502924,3.8142549308993,0.0026217440053599
0.01,6.09857978279031,3.8089814542775,0.0026253737698748
0.01,6.11528822055138,3.7913898707932,0.0026375551818172
0.01,6.13199665831244,3.7614078296407,0.0026585790355403
0.01,6.14870509607351,3.7209232371137,0.0026875050525785
0.01,6.16541353383458,3.6679019957416,0.002726354196925
0.01,6.18212197159567,3.6019611654653,0.0027762653567388
0.01,6.36591478696742,2.4073538319538,0.0041539385973369
0.01,6.38262322472849,2.3961575716813,0.0041733482464524
0.01,6.39933166248956,2.4046571914248,0.0041585969241939
0.01,6.41604010025062,2.4295614991754,0.0041159690764749
0.01,6.43274853801169,2.4695102199874,0.0040493859547789
0.01,6.44945697577276,2.5222432540456,0.0039647246489648
